證券代碼,年月日,收盤價(元),流通在外股數(千股),成交量(千股)
1532 勤美,2017/04/26,28.7,"385,252",736
1533 車王電,2017/04/26,41,"98,547",88
1535 中宇,2017/04/26,43.1,"123,742",38
1536 和大,2017/04/26,130.5,"254,956",806
1537 廣隆,2017/04/26,154.5,"81,785",108
1538 正峰新,2017/04/26,5.97,"83,135",94
1539 巨庭,2017/04/26,25,"65,370",91
1540 喬福,2017/04/26,15.05,"85,473",227
1541 錩泰,2017/04/26,59.5,"78,800",19
1558 伸興,2017/04/26,150,"60,552",75
1560 中砂,2017/04/26,69.2,"141,000","1,536"
1563 巧新,2017/04/26,177.05,"198,837",254
1565 精華,2017/04/26,578,"50,416",414
1566 捷邦,2017/04/26,17.2,"66,467",72
15661 捷邦一,2017/04/26,102,853,0
1568 倉佑,2017/04/26,36.6,"103,086","3,634"
1569 濱川,2017/04/26,37.7,"100,226","9,388"
15695 濱川五,2017/04/26,166,557,14
1570 力肯,2017/04/26,13.8,"51,500",86
1580 新麥,2017/04/26,139.5,"48,531",57
1582 信錦,2017/04/26,66.9,"158,524",368
15822 信錦二,2017/04/26,123.3,"3,328",0
1583 程泰,2017/04/26,62.8,"110,400",26
15831 程泰一,2017/04/26,102,"6,000",1
1584 精剛,2017/04/26,16.2,"82,470",877
1585 鎧鉅,2017/04/26,14.7,"53,950",48
1586 和勤,2017/04/26,28.65,"70,160",708
15861 和勤一,2017/04/26,115,"1,443",0
1587 吉茂,2017/04/26,33,"54,336",229
1589 永冠-KY,2017/04/26,87.8,"118,817",991
15891 永冠一KY,2017/04/26,102.55,"1,451",0
15892 永冠二KY,2017/04/26,99,"25,000",5
1590 亞德客-KY,2017/04/26,355,"179,024","1,497"
1591 駿吉-KY,2017/04/26,21.2,"30,149",75
1592 英瑞-KY,2017/04/26,49.9,"100,433",471
1593 祺驊,2017/04/26,43.85,"30,300",561
15931 祺驊一,2017/04/26,111.45,600,92
1594 日高,2017/04/26,8.36,"27,320",7
1595 川寶,2017/04/26,51.1,"40,621",69
15951 川寶一,2017/04/26,99.9,"2,400",0
1597 直得,2017/04/26,35.15,"62,045",472
1598 岱宇,2017/04/26,38.2,"92,950",49
1599 宏佳騰,2017/04/26,52.3,"51,727",94
1603 華電,2017/04/26,25.35,"191,688",50
1604 聲寶,2017/04/26,18.5,"499,000",277
1605 華新,2017/04/26,13.9,"3,396,000","4,164"
1608 華榮,2017/04/26,8.52,"632,773",79
1609 大亞,2017/04/26,6.18,"572,180",925
1611 中電,2017/04/26,7.77,"398,439",154
1612 宏泰,2017/04/26,9.46,"316,080",129
1614 三洋電,2017/04/26,25,"269,113",43
